Time,US,LS
15:01:55,30.94625,0.275
15:01:55,30.94625,0.275
15:01:55,30.94625,0.275
15:01:55,30.94625,0.275
15:01:55,30.94625,0.275
15:01:55,30.94625,0.275
15:01:55,30.94625,0.275
15:01:55,30.94625,0.275
15:01:55,30.94625,0.275
15:01:56,30.94625,0.275
15:01:56,30.94625,0.275
15:01:56,30.94625,0.275
15:01:56,30.94625,0.276
15:01:56,30.94625,0.277
15:01:56,30.94625,0.282
15:01:56,31.003125,0.291
15:01:56,31.1825,0.3
15:01:56,31.440625,0.339
15:01:56,31.795,0.374
15:01:57,32.67,0.409
15:01:57,33.99125,0.441
15:01:57,35.40875,0.497
15:01:57,38.090625,0.541
15:01:57,40.129375,0.589
15:01:57,43.603125,0.635
15:01:57,47.908125,0.7
15:01:57,51.9025,0.746
15:01:57,56.9775,0.779
15:01:57,62.2275,0.812
15:01:58,66.935,0.844
15:01:58,72.740625,0.852
15:01:58,76.14875,0.892
15:01:58,80.69875,0.912
15:01:58,84.68875,0.92
15:01:58,87.48,0.919
15:01:58,88.97625,0.919
15:01:58,89.76375,0.918
15:01:58,90,0.918
15:01:58,90,0.918
15:01:59,90,0.918
15:01:59,90,0.917
15:01:59,90,0.917
15:01:59,90,0.917
15:01:59,90,0.917
15:01:59,90,0.917
15:01:59,90,0.916
15:01:59,90,0.916
15:01:59,90,0.916
15:01:59,90,0.916
15:02:00,90,0.916
15:02:00,90,0.916
15:02:00,90,0.916
15:02:00,90,0.916
15:02:00,90,0.916
