Time,hex1,hex2,hex3
14:46:39,40,84,d4
14:46:40,40,84,d4
14:46:40,40,84,d4
14:46:40,40,84,d4
14:46:41,40,84,d4
14:46:41,40,84,d4
14:46:41,40,84,d4
14:46:41,40,84,d4
14:46:42,40,84,d5
14:46:42,40,84,d5
14:46:42,40,84,d8
14:46:42,40,84,da
14:46:42,40,84,e5
14:46:42,40,86,cb
14:46:42,40,86,f1
14:46:42,40,88,df
14:46:42,40,89,e7
14:46:42,40,8a,da
14:46:43,40,8b,e8
14:46:43,40,8c,dc
14:46:43,40,8e,c5
14:46:43,40,8e,de
14:46:43,40,90,ef
14:46:43,40,91,c4
14:46:43,40,91,ef
14:46:43,40,92,ee
14:46:43,40,93,cd
14:46:43,40,94,cc
14:46:44,40,94,d5
14:46:44,40,95,d3
14:46:44,40,95,f2
14:46:44,40,96,cd
14:46:44,40,96,e7
14:46:44,40,96,ed
14:46:44,40,96,ff
14:46:44,40,97,c1
14:46:44,40,97,c6
14:46:44,40,97,c9
14:46:45,40,97,cb
14:46:45,40,97,cb
